Схемы зачернений (проведение предупредительных противопаводковых мероприятий по ослаблению прочности льда на затороопасных участках рек),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
18,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,0,,,59.65676704,127.10799454,р. Курум Кюнкю,ЛБВУ ФАВР
19,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,0,,,,,р. Курум Арыта,ЛБВУ ФАВР
20,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,0,,,,,о. Ус-Уэстэх,ЛБВУ ФАВР
21,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,0,,,,,о. Молода,ЛБВУ ФАВР
22,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,0,,,,,о. Уорай,ЛБВУ ФАВР
23,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,0,,,,,Харчы Хайата,ЛБВУ ФАВР
24,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,0,,,,,р. Ксенофонт Арыта,ЛБВУ ФАВР
25,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,0,,,,,о. Уолала,ЛБВУ ФАВР
26,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,0,,,,,Моккуда,ЛБВУ ФАВР
27,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,0,,,,,Тэйэр Хайа,ЛБВУ ФАВР
28,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,0,,,,,о. Уодай,ЛБВУ ФАВР
29,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,,,,,,,
30,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,,,,,,,
31,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,,,,,,,
32,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,,,,,,,
33,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,,,,,,,
34,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,,,,,,,
35,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,,,,,,,
,0,,Алдан,Верхнеколымский муниципальный район,0,,,,,,,,,,,
